bank_transaction_id,account_id,transaction_date,value_date,amount,currency,direction,transaction_type,description,reference_id,counterparty_id,status
BANK_000001,BANK_002,2025-09-02T19:03:11,2025-09-02T19:03:11,48538.62,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000003,SET_000003,PAYFLOW,POSTED
BANK_000002,BANK_002,2025-09-02T22:13:59,2025-09-02T22:13:59,2597.18,INR,DEBIT,CUSTOMER_REFUND,Customer refund REF_000339,REF_000339,CUST_007222,POSTED
BANK_000003,BANK_002,2025-09-02T22:29:39,2025-09-02T22:29:39,1230.98,INR,DEBIT,CUSTOMER_REFUND,Customer refund REF_000094,REF_000094,CUST_000154,POSTED
BANK_000004,BANK_002,2025-09-03T04:34:28,2025-09-03T04:34:28,48514.34,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000010,SET_000010,PAYFLOW,POSTED
BANK_000005,BANK_002,2025-09-04T01:43:05,2025-09-04T01:43:05,2293.09,INR,DEBIT,CUSTOMER_REFUND,Customer refund REF_000394,REF_000394,CUST_005452,POSTED
BANK_000006,BANK_002,2025-09-04T02:16:15,2025-09-04T02:16:15,36128.21,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000019,SET_000019,PAYFLOW,POSTED
BANK_000007,BANK_002,2025-09-04T03:39:03,2025-09-04T03:39:03,50762.95,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000018,SET_000018,PAYFLOW,POSTED
BANK_000008,BANK_002,2025-09-04T05:52:49,2025-09-04T05:52:49,28488.11,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000020,SET_000020,PAYFLOW,POSTED
BANK_000009,BANK_002,2025-09-04T17:37:44,2025-09-04T17:37:44,921.58,INR,DEBIT,CUSTOMER_REFUND,Customer refund REF_000169,REF_000169,CUST_004620,POSTED
BANK_000010,BANK_002,2025-09-04T18:13:55,2025-09-04T18:13:55,32708.20,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000015,SET_000015,PAYFLOW,POSTED
BANK_000011,BANK_002,2025-09-04T19:43:05,2025-09-04T19:43:05,38768.64,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000011,SET_000011,PAYFLOW,POSTED
BANK_000012,BANK_002,2025-09-04T20:25:25,2025-09-04T20:25:25,32029.57,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000012,SET_000012,PAYFLOW,POSTED
BANK_000013,BANK_002,2025-09-04T20:40:13,2025-09-04T20:40:13,37065.98,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000022,SET_000022,PAYFLOW,POSTED
BANK_000014,BANK_002,2025-09-04T21:39:31,2025-09-04T21:39:31,2050.84,INR,DEBIT,CUSTOMER_REFUND,Customer refund REF_000352,REF_000352,CUST_003565,POSTED
BANK_000015,BANK_002,2025-09-04T22:10:31,2025-09-04T22:10:31,39509.02,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000005,SET_000005,PAYFLOW,POSTED
BANK_000016,BANK_002,2025-09-05T00:19:16,2025-09-05T00:19:16,30369.11,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000032,SET_000032,PAYFLOW,POSTED
BANK_000017,BANK_002,2025-09-05T00:35:39,2025-09-05T00:35:39,43732.93,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000014,SET_000014,PAYFLOW,POSTED
BANK_000018,BANK_002,2025-09-05T00:45:08,2025-09-05T00:45:08,36585.01,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000013,SET_000013,PAYFLOW,POSTED
BANK_000019,BANK_002,2025-09-05T00:51:42,2025-09-05T00:51:42,36118.46,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000006,SET_000006,PAYFLOW,POSTED
BANK_000020,BANK_002,2025-09-05T00:57:48,2025-09-05T00:57:48,418.78,INR,DEBIT,CUSTOMER_REFUND,Customer refund REF_000358,REF_000358,CUST_002429,POSTED
BANK_000021,BANK_002,2025-09-05T01:41:57,2025-09-05T01:41:57,40917.54,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000026,SET_000026,PAYFLOW,POSTED
BANK_000022,BANK_002,2025-09-05T02:02:50,2025-09-05T02:02:50,36376.66,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000025,SET_000025,PAYFLOW,POSTED
BANK_000023,BANK_002,2025-09-05T13:15:57,2025-09-05T13:15:57,340.31,INR,DEBIT,CUSTOMER_REFUND,Customer refund REF_000376,REF_000376,CUST_007113,POSTED
BANK_000024,BANK_002,2025-09-05T15:23:42,2025-09-05T15:23:42,1175.59,INR,DEBIT,CUSTOMER_REFUND,Customer refund REF_000081,REF_000081,CUST_000349,POSTED
BANK_000025,BANK_002,2025-09-05T18:55:50,2025-09-05T18:55:50,31995.73,INR,CREDIT,PAYMENT_GATEWAY_SETTLEMENT,PayFlow settlement SET_000016,SET_000016,PAYFLOW,POSTED
