payment_id,order_id,customer_id,payment_date,gateway,payment_method,amount,currency,status,gateway_reference
PAY_000001,ORD_000001,CUST_000937,2025-09-23T16:12:50,PayFlow,UPI,390.58,INR,SUCCESS,PF_00000001
PAY_000002,ORD_000002,CUST_005923,2025-09-13T18:18:57,PayFlow,UPI,390.58,INR,SUCCESS,PF_00000002
PAY_000003,ORD_000003,CUST_005083,2025-09-25T20:43:45,PayFlow,CARD,872.79,INR,SUCCESS,PF_00000003
PAY_000004,ORD_000004,CUST_002356,2025-09-19T17:31:58,PayFlow,UPI,1122.18,INR,SUCCESS,PF_00000004
PAY_000005,ORD_000005,CUST_001867,2025-09-10T20:11:06,PayFlow,UPI,363.91,INR,SUCCESS,PF_00000005
PAY_000006,ORD_000006,CUST_001198,2025-09-05T20:39:16,PayFlow,UPI,259.42,INR,SUCCESS,PF_00000006
PAY_000007,ORD_000007,CUST_001356,2025-09-21T19:28:08,PayFlow,CARD,420.20,INR,SUCCESS,PF_00000007
PAY_000008,ORD_000008,CUST_000940,2025-09-13T19:05:47,PayFlow,CARD,790.38,INR,SUCCESS,PF_00000008
PAY_000009,ORD_000009,CUST_004562,2025-09-24T19:03:51,PayFlow,UPI,628.02,INR,SUCCESS,PF_00000009
PAY_000010,ORD_000010,CUST_006893,2025-09-30T19:22:47,PayFlow,CARD,830.72,INR,SUCCESS,PF_00000010
PAY_000011,ORD_000011,CUST_005479,2025-09-14T18:08:35,PayFlow,UPI,295.00,INR,SUCCESS,PF_00000011
PAY_000012,ORD_000012,CUST_004350,2025-09-09T18:35:24,PayFlow,UPI,1256.70,INR,SUCCESS,PF_00000012
PAY_000013,ORD_000013,CUST_003953,2025-09-22T20:44:32,PayFlow,UPI,757.56,INR,SUCCESS,PF_00000013
PAY_000014,ORD_000014,CUST_006825,2025-09-26T13:49:16,PayFlow,CARD,743.13,INR,SUCCESS,PF_00000014
PAY_000015,ORD_000015,CUST_003216,2025-09-30T16:59:01,PayFlow,UPI,294.88,INR,SUCCESS,PF_00000015
