refund_id,order_id,payment_id,refund_date,refund_type,refund_reason,amount,currency,status,gateway,gateway_reference,customer_id
REF_000001,ORD_000003,PAY_000003,2025-10-04T07:38:07,FULL,RETURNED_ORDER,872.79,INR,SUCCESS,PayFlow,RF_00000001,CUST_005083
REF_000002,ORD_000028,PAY_000028,2025-09-17T02:53:11,FULL,CUSTOMER_REQUEST,1690.70,INR,SUCCESS,PayFlow,RF_00000002,CUST_002435
REF_000003,ORD_000068,,2025-09-30T05:44:52,FULL,RETURNED_ORDER,2600.64,INR,SUCCESS,,,CUST_002782
REF_000004,ORD_000136,PAY_000112,2025-09-29T21:08:08,FULL,CUSTOMER_REQUEST,3628.50,INR,SUCCESS,PayFlow,RF_00000004,CUST_003808
REF_000005,ORD_000138,,2025-09-29T12:47:45,FULL,RETURNED_ORDER,908.60,INR,SUCCESS,,,CUST_000576
REF_000006,ORD_000170,PAY_000137,2025-09-16T21:43:03,PARTIAL,CUSTOMER_REQUEST,309.15,INR,SUCCESS,PayFlow,RF_00000006,CUST_005998
REF_000007,ORD_000183,PAY_000147,2025-09-17T12:37:57,FULL,RETURNED_ORDER,1062.00,INR,SUCCESS,PayFlow,RF_00000007,CUST_001611
REF_000008,ORD_000229,PAY_000182,2025-09-29T16:04:30,FULL,RETURNED_ORDER,534.54,INR,SUCCESS,PayFlow,RF_00000008,CUST_007318
REF_000009,ORD_000351,PAY_000287,2025-09-08T02:39:29,FULL,CUSTOMER_REQUEST,848.02,INR,SUCCESS,PayFlow,RF_00000009,CUST_000566
REF_000010,ORD_000374,PAY_000302,2025-09-28T20:44:11,FULL,CUSTOMER_REQUEST,1342.96,INR,SUCCESS,PayFlow,RF_00000010,CUST_006294
REF_000011,ORD_000382,,2025-09-11T20:28:49,FULL,RETURNED_ORDER,788.18,INR,SUCCESS,,,CUST_004571
REF_000012,ORD_000383,PAY_000309,2025-10-02T20:34:34,FULL,CUSTOMER_REQUEST,354.00,INR,SUCCESS,PayFlow,RF_00000012,CUST_004519
REF_000013,ORD_000412,PAY_000335,2025-09-28T04:15:23,FULL,RETURNED_ORDER,295.00,INR,SUCCESS,PayFlow,RF_00000013,CUST_003382
REF_000014,ORD_000476,PAY_000386,2025-09-07T01:03:13,FULL,CUSTOMER_REQUEST,902.30,INR,SUCCESS,PayFlow,RF_00000014,CUST_003034
REF_000015,ORD_000499,PAY_000404,2025-09-06T15:21:39,FULL,RETURNED_ORDER,754.93,INR,SUCCESS,PayFlow,RF_00000015,CUST_003832
REF_000016,ORD_000508,PAY_000413,2025-09-11T01:11:18,PARTIAL,CUSTOMER_REQUEST,669.06,INR,SUCCESS,PayFlow,RF_00000016,CUST_008423
REF_000017,ORD_000541,PAY_000440,2025-09-25T12:43:42,FULL,RETURNED_ORDER,365.80,INR,SUCCESS,PayFlow,RF_00000017,CUST_002690
REF_000018,ORD_000552,PAY_000449,2025-09-21T16:53:05,FULL,CUSTOMER_REQUEST,3038.50,INR,SUCCESS,PayFlow,RF_00000018,CUST_000232
REF_000019,ORD_000561,PAY_000455,2025-09-14T11:37:56,FULL,RETURNED_ORDER,964.18,INR,SUCCESS,PayFlow,RF_00000019,CUST_002490
REF_000020,ORD_000615,,2025-09-16T04:58:26,FULL,RETURNED_ORDER,383.50,INR,SUCCESS,,,CUST_004535
REF_000021,ORD_000625,PAY_000505,2025-09-29T10:47:33,FULL,RETURNED_ORDER,1613.12,INR,SUCCESS,PayFlow,RF_00000021,CUST_001184
REF_000022,ORD_000626,,2025-10-07T17:36:09,FULL,RETURNED_ORDER,513.21,INR,SUCCESS,,,CUST_004797
REF_000023,ORD_000715,PAY_000576,2025-09-12T08:28:48,FULL,RETURNED_ORDER,1661.44,INR,SUCCESS,PayFlow,RF_00000023,CUST_007400
REF_000024,ORD_000716,PAY_000577,2025-10-07T06:53:44,FULL,RETURNED_ORDER,2460.70,INR,SUCCESS,PayFlow,RF_00000024,CUST_007798
REF_000025,ORD_000738,PAY_000594,2025-09-19T02:21:50,FULL,RETURNED_ORDER,546.34,INR,SUCCESS,PayFlow,RF_00000025,CUST_007361
REF_000026,ORD_000776,PAY_000629,2025-09-28T20:32:21,PARTIAL,CUSTOMER_REQUEST,1128.22,INR,SUCCESS,PayFlow,RF_00000026,CUST_000705
REF_000027,ORD_000807,PAY_000651,2025-09-29T13:58:59,FULL,RETURNED_ORDER,350.99,INR,SUCCESS,PayFlow,RF_00000027,CUST_001334
REF_000028,ORD_000832,PAY_000675,2025-09-28T01:51:52,PARTIAL,CUSTOMER_REQUEST,790.48,INR,SUCCESS,PayFlow,RF_00000028,CUST_007114
REF_000029,ORD_000840,PAY_000682,2025-09-23T09:24:54,FULL,RETURNED_ORDER,967.48,INR,SUCCESS,PayFlow,RF_00000029,CUST_004497
REF_000030,ORD_000891,PAY_000724,2025-09-24T17:40:18,FULL,CUSTOMER_REQUEST,318.60,INR,SUCCESS,PayFlow,RF_00000030,CUST_005958
REF_000031,ORD_001018,PAY_000828,2025-09-26T04:09:02,FULL,RETURNED_ORDER,949.32,INR,SUCCESS,PayFlow,RF_00000031,CUST_006609
REF_000032,ORD_001037,PAY_000844,2025-10-03T16:07:03,FULL,RETURNED_ORDER,978.22,INR,SUCCESS,PayFlow,RF_00000032,CUST_003136
REF_000033,ORD_001051,PAY_000854,2025-10-08T06:14:59,FULL,RETURNED_ORDER,295.00,INR,SUCCESS,PayFlow,RF_00000033,CUST_007953
REF_000034,ORD_001124,PAY_000916,2025-10-09T17:51:34,FULL,RETURNED_ORDER,791.78,INR,SUCCESS,PayFlow,RF_00000034,CUST_008216
REF_000035,ORD_001125,PAY_000917,2025-09-21T10:36:05,FULL,RETURNED_ORDER,731.60,INR,SUCCESS,PayFlow,RF_00000035,CUST_004863
REF_000036,ORD_001147,PAY_000930,2025-09-19T01:34:50,FULL,CUSTOMER_REQUEST,1070.08,INR,SUCCESS,PayFlow,RF_00000036,CUST_006252
REF_000037,ORD_001212,PAY_000978,2025-09-23T12:37:08,FULL,RETURNED_ORDER,371.70,INR,SUCCESS,PayFlow,RF_00000037,CUST_007205
REF_000038,ORD_001242,PAY_001003,2025-10-01T23:22:10,FULL,RETURNED_ORDER,2316.16,INR,SUCCESS,PayFlow,RF_00000038,CUST_004444
REF_000039,ORD_001243,,2025-09-22T11:27:06,FULL,RETURNED_ORDER,557.90,INR,SUCCESS,,,CUST_006482
REF_000040,ORD_001321,,2025-09-29T23:02:16,FULL,RETURNED_ORDER,295.00,INR,SUCCESS,,,CUST_007368
REF_000041,ORD_001332,PAY_001073,2025-09-07T01:14:34,FULL,CUSTOMER_REQUEST,1224.49,INR,SUCCESS,PayFlow,RF_00000041,CUST_005867
REF_000042,ORD_001341,,2025-09-18T05:27:47,FULL,RETURNED_ORDER,577.02,INR,SUCCESS,,,CUST_004442
REF_000043,ORD_001418,,2025-09-26T21:57:12,FULL,RETURNED_ORDER,879.57,INR,SUCCESS,,,CUST_000082
REF_000044,ORD_001469,PAY_001188,2025-10-02T01:08:04,FULL,CUSTOMER_REQUEST,463.03,INR,SUCCESS,PayFlow,RF_00000044,CUST_007694
REF_000045,ORD_001491,PAY_001206,2025-10-08T04:30:44,FULL,RETURNED_ORDER,638.38,INR,SUCCESS,PayFlow,RF_00000045,CUST_000486
REF_000046,ORD_001513,PAY_001226,2025-09-12T17:21:32,FULL,CUSTOMER_REQUEST,5384.34,INR,SUCCESS,PayFlow,RF_00000046,CUST_001632
REF_000047,ORD_001521,PAY_001232,2025-09-28T11:13:13,FULL,RETURNED_ORDER,638.38,INR,SUCCESS,PayFlow,RF_00000047,CUST_004576
REF_000048,ORD_001522,PAY_001233,2025-09-23T00:43:34,PARTIAL,CUSTOMER_REQUEST,435.96,INR,SUCCESS,PayFlow,RF_00000048,CUST_003453
REF_000049,ORD_001537,PAY_001246,2025-09-27T05:39:28,FULL,RETURNED_ORDER,695.89,INR,SUCCESS,PayFlow,RF_00000049,CUST_002169
REF_000050,ORD_001661,PAY_001350,2025-09-11T23:24:49,FULL,RETURNED_ORDER,1967.06,INR,SUCCESS,PayFlow,RF_00000050,CUST_002463
REF_000051,ORD_001666,,2025-10-07T07:35:51,FULL,RETURNED_ORDER,2306.90,INR,SUCCESS,,,CUST_005229
REF_000052,ORD_001692,PAY_001376,2025-09-16T17:52:38,FULL,RETURNED_ORDER,1383.42,INR,SUCCESS,PayFlow,RF_00000052,CUST_000029
REF_000053,ORD_001780,PAY_001454,2025-09-11T22:12:40,PARTIAL,CUSTOMER_REQUEST,423.67,INR,SUCCESS,PayFlow,RF_00000053,CUST_007027
REF_000054,ORD_001800,PAY_001469,2025-09-17T02:54:47,PARTIAL,CUSTOMER_REQUEST,168.86,INR,SUCCESS,PayFlow,RF_00000054,CUST_003162
REF_000055,ORD_001822,PAY_001488,2025-10-01T04:28:10,FULL,RETURNED_ORDER,766.78,INR,SUCCESS,PayFlow,RF_00000055,CUST_006358
REF_000056,ORD_001828,,2025-10-03T10:49:17,FULL,RETURNED_ORDER,1340.48,INR,SUCCESS,,,CUST_005554
REF_000057,ORD_001831,PAY_001496,2025-09-23T06:33:32,FULL,RETURNED_ORDER,354.00,INR,SUCCESS,PayFlow,RF_00000057,CUST_004121
REF_000058,ORD_001847,PAY_001510,2025-10-03T04:55:15,FULL,RETURNED_ORDER,2146.28,INR,SUCCESS,PayFlow,RF_00000058,CUST_007007
REF_000059,ORD_001891,PAY_001548,2025-10-01T14:01:23,FULL,RETURNED_ORDER,6733.08,INR,SUCCESS,PayFlow,RF_00000059,CUST_007964
REF_000060,ORD_001916,PAY_001567,2025-09-18T09:46:29,FULL,RETURNED_ORDER,348.73,INR,SUCCESS,PayFlow,RF_00000060,CUST_007937
REF_000061,ORD_001932,,2025-10-08T09:52:38,FULL,RETURNED_ORDER,495.01,INR,SUCCESS,,,CUST_000108
REF_000062,ORD_002013,PAY_001649,2025-09-18T03:37:24,FULL,RETURNED_ORDER,4029.02,INR,SUCCESS,PayFlow,RF_00000062,CUST_006591
