settlement_id,settlement_date,gateway,currency,payment_count,gross_amount,refund_deductions,net_settlement_amount,destination_account_id,gateway_settlement_reference,first_payment_id,last_payment_id
SET_000001,2025-09-05T22:04:10,PayFlow,INR,36,35148.41,340.31,34808.10,BANK_002,PFSET_00000001,PAY_004303,PAY_009474
SET_000002,2025-09-05T19:24:28,PayFlow,INR,34,49916.07,0.00,49916.07,BANK_002,PFSET_00000002,PAY_002034,PAY_002120
SET_000003,2025-09-02T19:03:11,PayFlow,INR,42,48538.62,0.00,48538.62,BANK_002,PFSET_00000003,PAY_000601,PAY_000873
SET_000004,2025-09-05T23:49:18,PayFlow,INR,35,54815.56,0.00,54815.56,BANK_002,PFSET_00000004,PAY_008124,PAY_004642
SET_000005,2025-09-04T22:10:31,PayFlow,INR,35,41559.86,2050.84,39509.02,BANK_002,PFSET_00000005,PAY_008106,PAY_005262
SET_000006,2025-09-05T00:51:42,PayFlow,INR,26,38715.64,2597.18,36118.46,BANK_002,PFSET_00000006,PAY_002216,PAY_007284
SET_000007,2025-09-05T21:23:13,PayFlow,INR,41,43007.23,0.00,43007.23,BANK_002,PFSET_00000007,PAY_002561,PAY_006018
SET_000008,2025-09-06T02:17:54,PayFlow,INR,37,46032.20,3015.25,43016.95,BANK_002,PFSET_00000008,PAY_008319,PAY_005045
SET_000009,2025-09-05T23:21:15,PayFlow,INR,31,29313.72,1230.98,28082.74,BANK_002,PFSET_00000009,PAY_003688,PAY_009671
SET_000010,2025-09-03T04:34:28,PayFlow,INR,35,48514.34,0.00,48514.34,BANK_002,PFSET_00000010,PAY_007561,PAY_005512
SET_000011,2025-09-04T19:43:05,PayFlow,INR,33,38768.64,0.00,38768.64,BANK_002,PFSET_00000011,PAY_001883,PAY_002254
SET_000012,2025-09-04T20:25:25,PayFlow,INR,25,32029.57,0.00,32029.57,BANK_002,PFSET_00000012,PAY_004776,PAY_005978
SET_000013,2025-09-05T00:45:08,PayFlow,INR,32,36585.01,0.00,36585.01,BANK_002,PFSET_00000013,PAY_004459,PAY_008178
SET_000014,2025-09-05T00:35:39,PayFlow,INR,37,43732.93,0.00,43732.93,BANK_002,PFSET_00000014,PAY_003666,PAY_005013
SET_000015,2025-09-04T18:13:55,PayFlow,INR,35,32708.20,0.00,32708.20,BANK_002,PFSET_00000015,PAY_006305,PAY_004136
