vendor_invoice_id,vendor_id,vendor_category,invoice_date,due_date,invoice_type,description,subtotal,tax_amount,total_amount,currency,status,purchase_reference,handles_cod
VINV_000001,VEND_000082,GOODS,2025-09-02T10:47:00,2025-10-17T10:47:00,GOODS,Packaging and merchandise supplies,74184.00,13353.12,87537.12,INR,APPROVED,PO_00000001,N
VINV_000002,VEND_000032,GOODS,2025-09-06T10:47:00,2025-10-06T10:47:00,GOODS,Inventory replenishment,103513.00,0.00,103513.00,INR,APPROVED,PO_00000002,N
VINV_000003,VEND_000087,GOODS,2025-09-04T10:37:00,2025-10-04T10:37:00,GOODS,Product stock replenishment,187964.00,33833.52,221797.52,INR,APPROVED,PO_00000003,N
VINV_000004,VEND_000005,GOODS,2025-09-04T10:13:00,2025-10-04T10:13:00,GOODS,Merchandise procurement,52811.00,9505.98,62316.98,INR,APPROVED,PO_00000004,N
VINV_000005,VEND_000065,GOODS,2025-09-02T10:35:00,2025-10-02T10:35:00,GOODS,Merchandise procurement,202815.00,36506.70,239321.70,INR,APPROVED,PO_00000005,N
VINV_000006,VEND_000084,GOODS,2025-09-15T10:14:00,2025-10-30T10:14:00,GOODS,Product stock replenishment,187853.00,33813.54,221666.54,INR,APPROVED,PO_00000006,N
VINV_000007,VEND_000076,GOODS,2025-09-02T10:48:00,2025-10-02T10:48:00,GOODS,Merchandise procurement,117926.00,21226.68,139152.68,INR,APPROVED,PO_00000007,N
VINV_000008,VEND_000090,GOODS,2025-09-12T10:17:00,2025-10-12T10:17:00,GOODS,Merchandise procurement,155785.00,28041.30,183826.30,INR,APPROVED,PO_00000008,N
VINV_000009,VEND_000028,GOODS,2025-09-05T10:05:00,2025-10-05T10:05:00,GOODS,Product stock replenishment,133236.00,23982.48,157218.48,INR,APPROVED,PO_00000009,N
VINV_000010,VEND_000013,GOODS,2025-09-13T10:38:00,2025-10-28T10:38:00,GOODS,Packaging and merchandise supplies,139104.00,25038.72,164142.72,INR,APPROVED,PO_00000010,N
VINV_000011,VEND_000006,GOODS,2025-09-19T10:07:00,2025-10-19T10:07:00,GOODS,Product stock replenishment,165435.00,29778.30,195213.30,INR,APPROVED,PO_00000011,N
VINV_000012,VEND_000011,GOODS,2025-09-11T10:53:00,2025-10-26T10:53:00,GOODS,Packaging and merchandise supplies,189714.00,34148.52,223862.52,INR,APPROVED,PO_00000012,N
VINV_000013,VEND_000074,GOODS,2025-09-24T10:04:00,2025-10-24T10:04:00,GOODS,Inventory replenishment,95407.00,17173.26,112580.26,INR,APPROVED,PO_00000013,N
VINV_000014,VEND_000085,GOODS,2025-09-11T10:05:00,2025-10-26T10:05:00,GOODS,Merchandise procurement,104742.00,18853.56,123595.56,INR,APPROVED,PO_00000014,N
VINV_000015,VEND_000013,GOODS,2025-09-10T10:29:00,2025-10-25T10:29:00,GOODS,Packaging and merchandise supplies,144647.00,26036.46,170683.46,INR,APPROVED,PO_00000015,N
VINV_000016,VEND_000021,GOODS,2025-09-13T10:13:00,2025-10-28T10:13:00,GOODS,Packaging and merchandise supplies,142040.00,25567.20,167607.20,INR,APPROVED,PO_00000016,N
VINV_000017,VEND_000090,GOODS,2025-09-04T10:38:00,2025-10-04T10:38:00,GOODS,Merchandise procurement,214878.00,38678.04,253556.04,INR,APPROVED,PO_00000017,N
VINV_000018,VEND_000069,GOODS,2025-09-07T10:29:00,2025-10-22T10:29:00,GOODS,Product stock replenishment,109175.00,19651.50,128826.50,INR,APPROVED,PO_00000018,N
VINV_000019,VEND_000035,GOODS,2025-09-24T10:35:00,2025-10-24T10:35:00,GOODS,Merchandise procurement,212772.00,38298.96,251070.96,INR,APPROVED,PO_00000019,N
VINV_000020,VEND_000088,GOODS,2025-09-03T10:14:00,2025-10-03T10:14:00,GOODS,Inventory replenishment,130008.00,23401.44,153409.44,INR,APPROVED,PO_00000020,N
VINV_000021,VEND_000041,GOODS,2025-09-10T10:04:00,2025-10-10T10:04:00,GOODS,Merchandise procurement,150162.00,27029.16,177191.16,INR,APPROVED,PO_00000021,N
VINV_000022,VEND_000073,GOODS,2025-09-08T10:41:00,2025-10-23T10:41:00,GOODS,Product stock replenishment,127490.00,22948.20,150438.20,INR,APPROVED,PO_00000022,N
VINV_000023,VEND_000051,GOODS,2025-09-16T10:09:00,2025-10-31T10:09:00,GOODS,Packaging and merchandise supplies,213519.00,38433.42,251952.42,INR,APPROVED,PO_00000023,N
VINV_000024,VEND_000018,GOODS,2025-09-25T10:35:00,2025-11-09T10:35:00,GOODS,Packaging and merchandise supplies,109651.00,19737.18,129388.18,INR,APPROVED,PO_00000024,N
VINV_000025,VEND_000075,GOODS,2025-09-20T10:25:00,2025-11-04T10:25:00,GOODS,Packaging and merchandise supplies,157311.00,28315.98,185626.98,INR,APPROVED,PO_00000025,N
VINV_000026,VEND_000029,GOODS,2025-09-18T10:31:00,2025-10-18T10:31:00,GOODS,Inventory replenishment,81262.00,0.00,81262.00,INR,APPROVED,PO_00000026,N
VINV_000027,VEND_000007,GOODS,2025-09-06T10:40:00,2025-10-21T10:40:00,GOODS,Merchandise procurement,73743.00,0.00,73743.00,INR,APPROVED,PO_00000027,N
VINV_000028,VEND_000088,GOODS,2025-09-21T10:04:00,2025-10-21T10:04:00,GOODS,Product stock replenishment,155666.00,28019.88,183685.88,INR,APPROVED,PO_00000028,N
VINV_000029,VEND_000049,GOODS,2025-09-16T10:33:00,2025-10-16T10:33:00,GOODS,Packaging and merchandise supplies,201208.00,36217.44,237425.44,INR,APPROVED,PO_00000029,N
VINV_000030,VEND_000071,GOODS,2025-09-23T10:46:00,2025-10-23T10:46:00,GOODS,Inventory replenishment,48009.00,8641.62,56650.62,INR,APPROVED,PO_00000030,N
VINV_000031,VEND_000088,GOODS,2025-09-10T10:49:00,2025-10-10T10:49:00,GOODS,Packaging and merchandise supplies,185763.00,33437.34,219200.34,INR,APPROVED,PO_00000031,N
VINV_000032,VEND_000015,GOODS,2025-09-15T10:10:00,2025-10-30T10:10:00,GOODS,Product stock replenishment,121939.00,21949.02,143888.02,INR,APPROVED,PO_00000032,N
VINV_000033,VEND_000001,GOODS,2025-09-18T10:48:00,2025-10-18T10:48:00,GOODS,Merchandise procurement,114045.00,20528.10,134573.10,INR,APPROVED,PO_00000033,N
VINV_000034,VEND_000065,GOODS,2025-09-22T10:19:00,2025-10-22T10:19:00,GOODS,Merchandise procurement,72894.00,13120.92,86014.92,INR,APPROVED,PO_00000034,N
VINV_000035,VEND_000020,GOODS,2025-09-07T10:34:00,2025-10-22T10:34:00,GOODS,Inventory replenishment,143019.00,25743.42,168762.42,INR,APPROVED,PO_00000035,N
VINV_000036,VEND_000077,GOODS,2025-09-17T10:01:00,2025-10-17T10:01:00,GOODS,Inventory replenishment,129975.00,23395.50,153370.50,INR,APPROVED,PO_00000036,N
VINV_000037,VEND_000047,GOODS,2025-09-09T10:03:00,2025-10-24T10:03:00,GOODS,Merchandise procurement,125612.00,22610.16,148222.16,INR,APPROVED,PO_00000037,N
VINV_000038,VEND_000073,GOODS,2025-09-04T10:46:00,2025-10-19T10:46:00,GOODS,Product stock replenishment,65645.00,11816.10,77461.10,INR,APPROVED,PO_00000038,N
VINV_000039,VEND_000009,GOODS,2025-09-06T10:08:00,2025-10-21T10:08:00,GOODS,Product stock replenishment,184645.00,33236.10,217881.10,INR,APPROVED,PO_00000039,N
VINV_000040,VEND_000071,GOODS,2025-09-10T10:33:00,2025-10-10T10:33:00,GOODS,Product stock replenishment,88287.00,15891.66,104178.66,INR,APPROVED,PO_00000040,N
VINV_000041,VEND_000028,GOODS,2025-09-25T10:44:00,2025-10-25T10:44:00,GOODS,Merchandise procurement,186373.00,33547.14,219920.14,INR,APPROVED,PO_00000041,N
VINV_000042,VEND_000040,GOODS,2025-09-23T10:41:00,2025-11-07T10:41:00,GOODS,Packaging and merchandise supplies,149593.00,26926.74,176519.74,INR,APPROVED,PO_00000042,N
VINV_000043,VEND_000057,GOODS,2025-09-16T10:07:00,2025-10-16T10:07:00,GOODS,Merchandise procurement,180679.00,32522.22,213201.22,INR,APPROVED,PO_00000043,N
VINV_000044,VEND_000029,GOODS,2025-09-12T10:01:00,2025-10-12T10:01:00,GOODS,Merchandise procurement,61784.00,0.00,61784.00,INR,APPROVED,PO_00000044,N
VINV_000045,VEND_000076,GOODS,2025-09-02T10:04:00,2025-10-02T10:04:00,GOODS,Inventory replenishment,102728.00,18491.04,121219.04,INR,APPROVED,PO_00000045,N
VINV_000046,VEND_000030,GOODS,2025-09-03T10:55:00,2025-10-03T10:55:00,GOODS,Packaging and merchandise supplies,62668.00,11280.24,73948.24,INR,APPROVED,PO_00000046,N
VINV_000047,VEND_000010,GOODS,2025-09-09T10:17:00,2025-10-09T10:17:00,GOODS,Product stock replenishment,179782.00,32360.76,212142.76,INR,APPROVED,PO_00000047,N
VINV_000048,VEND_000028,GOODS,2025-09-06T10:46:00,2025-10-06T10:46:00,GOODS,Product stock replenishment,186356.00,33544.08,219900.08,INR,APPROVED,PO_00000048,N
VINV_000049,VEND_000032,GOODS,2025-09-15T10:12:00,2025-10-15T10:12:00,GOODS,Inventory replenishment,168987.00,0.00,168987.00,INR,APPROVED,PO_00000049,N
VINV_000050,VEND_000013,GOODS,2025-09-15T10:22:00,2025-10-30T10:22:00,GOODS,Product stock replenishment,217748.00,39194.64,256942.64,INR,APPROVED,PO_00000050,N
VINV_000051,VEND_000053,GOODS,2025-09-25T10:03:00,2025-10-25T10:03:00,GOODS,Inventory replenishment,167427.00,0.00,167427.00,INR,APPROVED,PO_00000051,N
VINV_000052,VEND_000008,GOODS,2025-09-25T10:21:00,2025-10-25T10:21:00,GOODS,Inventory replenishment,150544.00,0.00,150544.00,INR,APPROVED,PO_00000052,N
VINV_000053,VEND_000032,GOODS,2025-09-08T10:34:00,2025-10-08T10:34:00,GOODS,Product stock replenishment,95224.00,0.00,95224.00,INR,APPROVED,PO_00000053,N
VINV_000054,VEND_000018,GOODS,2025-09-07T10:17:00,2025-10-22T10:17:00,GOODS,Product stock replenishment,155593.00,28006.74,183599.74,INR,APPROVED,PO_00000054,N
VINV_000055,VEND_000032,GOODS,2025-09-16T10:51:00,2025-10-16T10:51:00,GOODS,Inventory replenishment,64761.00,0.00,64761.00,INR,APPROVED,PO_00000055,N
VINV_000056,VEND_000007,GOODS,2025-09-19T10:53:00,2025-11-03T10:53:00,GOODS,Inventory replenishment,215955.00,0.00,215955.00,INR,APPROVED,PO_00000056,N
VINV_000057,VEND_000012,GOODS,2025-09-07T10:26:00,2025-10-07T10:26:00,GOODS,Product stock replenishment,106965.00,19253.70,126218.70,INR,APPROVED,PO_00000057,N
VINV_000058,VEND_000062,GOODS,2025-09-14T10:57:00,2025-10-14T10:57:00,GOODS,Inventory replenishment,101032.00,0.00,101032.00,INR,APPROVED,PO_00000058,N
VINV_000059,VEND_000022,GOODS,2025-09-02T10:24:00,2025-10-17T10:24:00,GOODS,Packaging and merchandise supplies,144345.00,25982.10,170327.10,INR,APPROVED,PO_00000059,N
VINV_000060,VEND_000059,GOODS,2025-09-15T10:44:00,2025-10-15T10:44:00,GOODS,Product stock replenishment,119776.00,21559.68,141335.68,INR,APPROVED,PO_00000060,N
VINV_000061,VEND_000020,GOODS,2025-09-11T10:13:00,2025-10-26T10:13:00,GOODS,Inventory replenishment,94780.00,17060.40,111840.40,INR,APPROVED,PO_00000061,N
VINV_000062,VEND_000075,GOODS,2025-09-03T10:47:00,2025-10-18T10:47:00,GOODS,Packaging and merchandise supplies,187133.00,33683.94,220816.94,INR,APPROVED,PO_00000062,N
VINV_000063,VEND_000008,GOODS,2025-09-20T10:30:00,2025-10-20T10:30:00,GOODS,Merchandise procurement,58144.00,0.00,58144.00,INR,APPROVED,PO_00000063,N
VINV_000064,VEND_000008,GOODS,2025-09-04T10:54:00,2025-10-04T10:54:00,GOODS,Merchandise procurement,178124.00,0.00,178124.00,INR,APPROVED,PO_00000064,N
VINV_000065,VEND_000009,GOODS,2025-09-04T10:43:00,2025-10-19T10:43:00,GOODS,Merchandise procurement,200984.00,36177.12,237161.12,INR,APPROVED,PO_00000065,N
VINV_000066,VEND_000052,GOODS,2025-09-20T10:15:00,2025-10-20T10:15:00,GOODS,Inventory replenishment,76427.00,13756.86,90183.86,INR,APPROVED,PO_00000066,N
VINV_000067,VEND_000080,GOODS,2025-09-15T10:42:00,2025-10-30T10:42:00,GOODS,Packaging and merchandise supplies,66491.00,11968.38,78459.38,INR,APPROVED,PO_00000067,N
VINV_000068,VEND_000034,GOODS,2025-09-23T10:45:00,2025-10-23T10:45:00,GOODS,Packaging and merchandise supplies,98545.00,17738.10,116283.10,INR,APPROVED,PO_00000068,N
