vendor_payment_id,vendor_invoice_id,vendor_id,payment_date,payment_account_id,amount,currency,payment_method,status,bank_reference
VPAY_000001,VINV_000001,VEND_000082,2025-10-17T20:34:00,BANK_003,87537.12,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000001
VPAY_000002,VINV_000002,VEND_000032,2025-10-06T22:55:00,BANK_003,103513.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000002
VPAY_000003,VINV_000003,VEND_000087,2025-10-04T21:14:00,BANK_003,221797.52,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000003
VPAY_000004,VINV_000004,VEND_000005,2025-10-04T19:18:00,BANK_003,62316.98,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000004
VPAY_000005,VINV_000005,VEND_000065,2025-10-02T20:10:00,BANK_003,239321.70,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000005
VPAY_000006,VINV_000006,VEND_000084,2025-10-26T01:28:00,BANK_003,221666.54,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000006
VPAY_000007,VINV_000007,VEND_000076,2025-10-03T00:39:00,BANK_003,139152.68,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000007
VPAY_000008,VINV_000008,VEND_000090,2025-10-12T22:01:00,BANK_003,183826.30,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000008
VPAY_000009,VINV_000009,VEND_000028,2025-10-05T23:14:00,BANK_003,157218.48,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000009
VPAY_000010,VINV_000010,VEND_000013,2025-10-29T00:44:00,BANK_003,164142.72,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000010
VPAY_000011,VINV_000011,VEND_000006,2025-10-19T01:01:00,BANK_003,195213.30,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000011
VPAY_000012,VINV_000012,VEND_000011,2025-10-27T00:44:00,BANK_003,223862.52,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000012
VPAY_000013,VINV_000013,VEND_000074,2025-10-20T21:03:00,BANK_003,112580.26,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000013
VPAY_000014,VINV_000014,VEND_000085,2025-10-26T23:58:00,BANK_003,123595.56,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000014
VPAY_000015,VINV_000015,VEND_000013,2025-10-26T01:05:00,BANK_003,170683.46,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000015
VPAY_000016,VINV_000016,VEND_000021,2025-10-27T19:55:00,BANK_003,167607.20,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000016
VPAY_000017,VINV_000017,VEND_000090,2025-10-04T23:43:00,BANK_003,253556.04,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000017
VPAY_000018,VINV_000018,VEND_000069,2025-10-22T20:53:00,BANK_003,128826.50,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000018
VPAY_000019,VINV_000019,VEND_000035,2025-10-25T00:45:00,BANK_003,251070.96,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000019
VPAY_000020,VINV_000020,VEND_000088,2025-10-03T22:56:00,BANK_003,153409.44,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000020
VPAY_000021,VINV_000021,VEND_000041,2025-10-10T20:42:00,BANK_003,177191.16,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000021
VPAY_000022,VINV_000022,VEND_000073,2025-10-23T22:51:00,BANK_003,150438.20,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000022
VPAY_000023,VINV_000023,VEND_000051,2025-11-01T00:08:00,BANK_003,251952.42,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000023
VPAY_000024,VINV_000024,VEND_000018,2025-11-09T23:18:00,BANK_003,129388.18,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000024
VPAY_000025,VINV_000025,VEND_000075,2025-11-04T19:39:00,BANK_003,185626.98,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000025
VPAY_000026,VINV_000026,VEND_000029,2025-10-19T00:56:00,BANK_003,81262.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000026
VPAY_000027,VINV_000027,VEND_000007,2025-10-21T23:38:00,BANK_003,73743.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000027
VPAY_000028,VINV_000028,VEND_000088,2025-10-25T00:17:00,BANK_003,183685.88,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000028
VPAY_000029,VINV_000029,VEND_000049,2025-10-17T02:29:00,BANK_003,237425.44,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000029
VPAY_000030,VINV_000030,VEND_000071,2025-10-25T22:02:00,BANK_003,56650.62,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000030
VPAY_000031,VINV_000031,VEND_000088,2025-10-06T00:36:00,BANK_003,219200.34,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000031
VPAY_000032,VINV_000032,VEND_000015,2025-10-31T01:33:00,BANK_003,143888.02,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000032
VPAY_000033,VINV_000033,VEND_000001,2025-10-18T22:20:00,BANK_003,134573.10,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000033
VPAY_000034,VINV_000034,VEND_000065,2025-10-22T20:14:00,BANK_003,86014.92,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000034
VPAY_000035,VINV_000035,VEND_000020,2025-10-21T02:12:00,BANK_003,168762.42,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000035
